,x,y,goal,shot_type_name,counter_attack,fast_break,strong_foot,body_part_name,assist_type,pass_end_y,pass_end_x,pass_switch,pass_cross,pass_cut_back,pass_height_name,pass_technique_name,carry_length,shot_one_on_one,shot_open_goal,under_pressure,area_shot,area_goal,opps_in_n_angle,goalkeeper_x,goalkeeper_y
0,100.4,17.0,False,throw_in,False,False,right,Right Foot,pass,51.31833333333333,89.69166666666666,False,False,False,Ground/ Low Pass,other,15.538504347623396,False,0.0,False,104.80562075983946,673.3237277053263,3.0,102.43333333333334,36.196
1,89.2,21.700000000000003,False,open_play,False,False,right,Right Foot,recovery,,,,,,,,14.885501032884315,False,0.0,False,4116.228646436924,182.27748864327407,1.0,104.35833333333332,30.4315
2,92.0,51.300000000000004,False,free_kick,False,False,right,Right Foot,pass,17.506666666666668,87.64285714285714,False,False,False,Ground/ Low Pass,other,22.799434498347637,False,0.0,False,3706.1968685663815,852.4299572046028,1.0,105.0,30.34
3,94.2,48.0,False,open_play,False,False,right,Right Foot,pass,21.17333333333333,102.25,False,False,False,Ground/ Low Pass,other,9.527716299769269,False,0.0,False,2673.73758477597,449.407094611607,1.0,104.08333333333331,32.17
4,104.60000000000001,42.1,False,open_play,False,False,right,Right Foot,pass,35.64699999999999,81.21428571428572,False,False,False,High Pass,Through Ball,8.09007021669844,False,0.0,False,4298.397280173761,796.7451752927414,0.0,100.14166666666668,23.556666666666665
5,92.4,48.2,False,throw_in,True,False,right,Right Foot,pass,52.41833333333333,79.24285714285715,False,False,False,Ground/ Low Pass,other,22.62145914588378,False,0.0,False,4155.16196247516,791.2958593062357,0.0,102.8,36.745
6,91.5,52.6,False,open_play,False,False,left,Left Foot,pass,50.49333333333333,92.16666666666669,False,False,True,Ground/ Low Pass,other,19.487471816671228,False,0.0,False,4790.842303012664,740.3230361474426,1.0,104.63333333333333,36.6535
7,90.60000000000001,21.700000000000003,False,free_kick,False,False,left,Other,pass,27.956666666666663,101.88333333333333,False,False,False,High Pass,Inswinging,5.5793073270792295,False,0.0,True,4042.4103222515423,180.2863560845149,4.0,104.26666666666668,33.085
8,102.60000000000001,28.1,False,open_play,False,False,right,Left Foot,pass,50.126666666666665,85.15714285714284,False,False,False,Ground/ Low Pass,other,19.89738952448007,False,0.0,False,3421.654793381237,793.0735489156832,2.0,103.44166666666666,36.4705
9,100.5,53.900000000000006,False,throw_in,False,False,left,Right Foot,pass,20.165,89.50833333333333,False,False,False,Ground/ Low Pass,other,5.89025206968636,True,0.0,False,3599.6705344392312,369.89342036065153,0.0,104.175,31.072
